Year,ID,National,Position,PY,WY,CE/PL/UPL,Sex,R&D/Non R&D,WP,Birth,SCHLafterEPY,School,CORE,LP,RCMD,Performance,EDU,EmployBenifits,Retention,Married,HP,Core,Jobtype,Fresh/Exprnc,Transferred,PromotionCandidate,Promotion,Incentive,Retire
2015,lg3040,1,P3,5,5,Current_employee,Male,R&D,Gasan R&D Campus(LGEKR),1973,N,T1,N,N,N,4,Doctor,N,N,14,Y,N,A,1,N,N,N,0,0
2015,lg3041,1,P2,4,5,Current_employee,Male,R&D,Gasan R&D Campus(LGEKR),1981,N,T4,N,N,N,3,Master,N,N,4,N,N,A,0,N,N,N,0,0
2015,lg3042,1,P2,4,5,Current_employee,Male,R&D,Gasan R&D Campus(LGEKR),1979,N,T3,N,N,N,4,Master,N,N,4,N,N,A,0,N,N,N,0,0
2015,lg3044,1,P2,3,4,Current_employee,Female,R&D,Gasan R&D Campus(LGEKR),1985,N,T1,N,N,N,3,Master,N,N,5,N,N,A,0,N,N,N,0,0
2015,lg3045,1,P2,2,4,Current_employee,Male,R&D,Gasan R&D Campus(LGEKR),1977,N,T4,N,N,N,2,Master,Y,N,4,N,N,A,1,N,N,N,0,0
2015,lg3047,1,P2,5,4,Current_employee,Male,R&D,Gasan R&D Campus(LGEKR),1978,N,T1,N,N,N,3,Doctor,N,N,0,N,N,A,1,N,N,N,0,0
2015,lg3049,1,P2,2,4,Current_employee,Male,R&D,Gasan R&D Campus(LGEKR),1983,N,T3,N,N,N,2,Master,N,N,0,N,N,A,1,N,N,N,0,0
2015,lg3051,1,P2,5,3,Current_employee,Male,R&D,Gasan R&D Campus(LGEKR),1977,N,A,N,N,N,4,Master,N,N,0,N,N,A,1,N,N,N,0,0
2015,lg2811,1,P2,5,3,Current_employee,Male,R&D,Gasan R&D Campus(LGEKR),1975,N,T1,N,N,N,3,Master,N,N,9,N,N,A,1,N,N,N,0,0
2015,lg2812,1,P3,4,3,Current_employee,Male,R&D,Gasan R&D Campus(LGEKR),1973,N,T1,N,N,N,4,Master,N,N,11,Y,N,A,1,N,N,N,0,0
2015,lg2815,1,P2,2,3,Current_employee,Male,R&D,Gasan R&D Campus(LGEKR),1977,N,T4,N,N,N,3,Master,N,N,4,N,N,A,1,N,N,N,0,0
2015,lg2817,1,P2,5,3,Current_employee,Male,R&D,Gasan R&D Campus(LGEKR),1979,N,T4,N,N,N,4,Master,N,N,1,N,N,A,1,N,N,N,0,0
2015,lg2819,1,P2,3,3,Current_employee,Male,R&D,Gasan R&D Campus(LGEKR),1975,N,T4,N,Y,N,2,Master,N,N,6,N,N,A,1,N,N,N,0,0
2015,lg3753,1,P2,1,2,Current_employee,Male,R&D,Gasan R&D Campus(LGEKR),1985,N,T3,N,N,N,3,Master,N,N,0,N,N,A,0,N,N,N,0,0
2015,lg3680,1,P1,4,2,Current_employee,Male,R&D,Gasan R&D Campus(LGEKR),1985,N,T4,N,N,N,3,Master,N,N,4,N,N,A,0,N,N,N,0,0
2015,lg3754,1,P1,5,2,Current_employee,Male,R&D,Gasan R&D Campus(LGEKR),1984,N,T2,N,Y,N,2,Master,Y,N,0,N,N,A,0,N,N,N,0,0
2015,lg4408,1,P2,4,1,Current_employee,Male,R&D,Gasan R&D Campus(LGEKR),1980,N,T4,N,N,N,3,Master,N,N,0,N,N,A,1,N,N,N,0,0
2015,lg4409,1,P1,3,1,Current_employee,Male,R&D,Gasan R&D Campus(LGEKR),1982,N,T1,N,N,N,0,Master,N,N,0,N,N,A,0,N,N,N,0,1
2015,lg4410,1,P2,1,1,Current_employee,Male,R&D,Gasan R&D Campus(LGEKR),1983,N,A,N,N,N,0,Doctor,N,N,0,N,N,A,0,N,N,N,0,0
2015,lg4787,1,P2,1,0,Current_employee,Male,R&D,Gasan R&D Campus(LGEKR),1983,N,T2,N,N,N,0,Bachelor,Y,N,0,N,N,A,1,N,N,N,0,0
2015,lg4788,1,P1,3,0,Current_employee,Male,R&D,Gasan R&D Campus(LGEKR),1987,N,T1,N,N,N,0,Master,Y,N,0,N,N,A,0,N,N,N,0,1
2015,lg4789,1,P2,1,0,Current_employee,Male,R&D,Gasan R&D Campus(LGEKR),1982,N,T2,N,N,N,0,Doctor,N,N,7,N,N,A,0,N,N,N,0,0
2015,lg4322,1,p3.YW,12,25,Current_employee,Male,R&D,Gasan R&D Campus(LGEKR),1962,Y,A,N,N,N,4,Doctor,Y,N,25,Y,N,A,1,N,N,N,2,0
2015,lg4323,1,P3,11,24,Current_employee,Male,R&D,Gasan R&D Campus(LGEKR),1963,N,T3,N,N,N,2,Master,N,Y,26,N,N,A,0,N,N,N,1,0
2015,lg4324,1,P3,5,19,Current_employee,Male,R&D,Gasan R&D Campus(LGEKR),1969,N,T1,N,N,N,4,Master,N,Y,14,Y,Y,A,0,N,N,N,2,0
2015,lg4325,1,P3,6,14,Current_employee,Male,R&D,Gasan R&D Campus(LGEKR),1973,N,T4,N,N,N,4,Master,N,N,12,N,N,A,0,N,N,N,0,0
2015,lg4326,1,P3,3,14,Current_employee,Male,R&D,Gasan R&D Campus(LGEKR),1973,N,T3,N,N,N,3,Master,N,Y,12,N,N,A,0,N,N,N,2,0
2015,lg4327,1,P3,5,12,Current_employee,Male,R&D,Gasan R&D Campus(LGEKR),1974,N,T1,N,N,N,3,Master,N,N,13,N,N,A,0,N,N,N,1,0
2015,lg4328,1,P3,4,12,Current_employee,Male,R&D,Gasan R&D Campus(LGEKR),1974,N,T1,N,Y,N,5,Master,Y,N,10,N,N,A,1,N,N,N,0,0
2015,lg4329,1,P3,4,12,Current_employee,Male,R&D,Gasan R&D Campus(LGEKR),1974,N,T3,N,Y,N,3,Master,N,N,6,N,N,A,0,N,N,N,0,0
2015,lg4330,1,P3,3,12,Current_employee,Male,R&D,Gasan R&D Campus(LGEKR),1974,N,T1,N,N,N,3,Master,N,Y,14,N,Y,A,0,N,N,N,3,0
2015,lg4332,1,P3,1,9,Current_employee,Male,R&D,Gasan R&D Campus(LGEKR),1976,N,T3,N,N,N,4,Master,Y,N,9,N,N,A,0,N,N,N,0,0
